id,text,price
04276894-d63f-4cd3-9546-fa6894505be2,Accusantium beatae consequuntur et numquam voluptatibus fuga beatae totam deserunt.,62149
4d57e32d-3341-4662-882f-106c382b17b6,Assumenda excepturi veniam numquam non provident deserunt possimus porro provident.,37234
b60dcb61-9646-45da-8517-4036628fda5a,Ab laborum quis dolore quae deserunt temporibus iusto impedit ipsa.,23485
a8851454-9ce8-495f-bf6a-864f245901ea,Architecto aliquid deserunt consequatur excepturi nam a expedita deleniti minima.,96862
e7304202-17d2-47b1-b400-b3cb96a8faba,Facere mollitia laborum quo iste blanditiis deserunt distinctio aperiam nulla.,44424
ba1bf06c-1b77-48e3-b274-e4d8c5a08945,Dolorum laboriosam soluta qui harum illo minima ipsum accusamus ea.,98400
ff7977b4-910e-4707-a2b6-9d438204ce87,Rerum magnam nisi ipsa eos consequuntur consequuntur molestias corrupti illo.,42407
61fb030a-7d75-4661-a7ad-b79be7cbb326,Deserunt animi eius corporis maiores laboriosam aliquam praesentium labore ratione.,44504
1c4644b8-647f-405c-8567-4afb7d2260db,Quam accusamus corporis ipsum commodi doloribus praesentium quidem harum sapiente.,51464
8a19f156-1b37-490c-881e-498e309a2246,Assumenda vel harum similique necessitatibus beatae rem quisquam aliquid accusamus.,27417
ae37888b-ccb0-4a4d-8488-a3d3c6a0c112,Incidunt non cumque facilis autem tempora soluta illum exercitationem mollitia.,73435
48aee444-9476-4e71-918f-982b7140c936,Totam atque totam consectetur occaecati reiciendis soluta ratione at possimus.,26834
4c297f57-a5d8-45a6-b20e-7d8dff7a3bf0,Maiores provident distinctio est ducimus repellendus sed repellat voluptate ab.,97262
f9b22203-9f5e-42cf-9d73-26fe8032edd1,Quisquam hic quibusdam culpa architecto veniam earum maxime nostrum tenetur.,94322
6867cd89-0d9d-4901-9e69-4909a3d93527,Eligendi ex delectus ab recusandae incidunt velit esse molestias corporis.,49585
66551b4b-6d5a-49b9-bbae-2e7430f7b0a3,Labore a odio quibusdam sapiente rem pariatur maxime occaecati voluptate.,69248
ca770206-313b-4b7f-b39a-805f1564f717,A maiores impedit aut nesciunt adipisci at blanditiis facere mollitia.,51354
92044109-2cb9-49cc-a81a-056b6c8fbd00,Possimus explicabo fugiat dignissimos eaque voluptas atque porro cumque voluptates.,74045
f5e3ec18-9a39-4ad1-a3df-c5bebbcfad49,Distinctio eius iusto corporis officiis sapiente totam maiores occaecati aut.,27315
1b133924-4b13-4184-a5df-a7b01b520722,Repellendus officiis reiciendis eius nostrum quia impedit rerum voluptatibus ad.,52648
f1455aaf-5846-449e-ad4b-75ffd7503a81,Provident dignissimos eaque ullam quia quis nobis maiores debitis cum.,67533
70a6f471-72b5-4bc5-890e-c31cdd701c35,Velit culpa provident fugit vero animi accusantium officia deleniti nulla.,81375
380dc0bd-eb83-485d-9e4f-9fa5e573e22d,Perspiciatis aperiam cumque sequi perferendis dolorum illo ut fuga ea.,39147
dbcf38d6-1a48-4077-bff7-f3da72ba6095,Accusantium quis deleniti optio est qui corporis voluptatibus sequi architecto.,97865
fd5ddfde-207a-4c7f-b494-99fd4e4363f0,Quia atque voluptas placeat veritatis adipisci magni maiores fugit facere.,38176
b0dc2623-666f-47a8-a5a8-079be0025867,Nisi molestias sit non asperiores facilis est porro rem eaque.,78019
ed333b8a-d887-40ab-93f8-725afb154993,Quam natus earum excepturi quos numquam explicabo impedit dolorem reiciendis.,16030
ccce3df0-3af0-454f-b494-f0e285b9216b,Et quas eos est possimus dicta vero iste saepe et.,63466
eb3f0cc1-0fa3-4e04-9332-ad5cc877f61b,Rerum eum unde ipsum consectetur blanditiis perferendis excepturi exercitationem repellat.,90822
41fb51aa-b659-4618-a4bf-f442cbd77fed,Mollitia voluptates suscipit tempore eum iure modi nulla tempora quam.,60554
f1a5a423-b798-47ba-b011-e0b3ae87f309,Quidem ratione ducimus placeat pariatur architecto veritatis assumenda sapiente necessitatibus.,12317
5afe7ae7-113f-4d07-a97e-62ece210eb33,Dolorem nobis fugit officiis sit illo excepturi rem pariatur iste.,61718
a74a4fc0-ace1-4025-81ff-6d1e12c2cbc9,Ipsum ducimus at vel provident magni quis optio sint aliquid.,71467
252fd00b-8b80-432c-9110-04702827ed51,Molestiae necessitatibus iusto eius quaerat commodi officiis fugiat iusto ea.,65617
f44578d9-e2a4-4a13-b634-deb3f61e9cf5,Possimus recusandae numquam delectus error harum fugit necessitatibus corporis facilis.,39536
681163bc-ab46-4424-a831-6fab79b59bfc,Totam harum molestias rerum nemo veniam reiciendis illum eaque exercitationem.,44596
9bda1b91-1871-438c-bfbb-34489d9ebcb4,Veritatis maiores sapiente laboriosam explicabo nulla vero consectetur reiciendis possimus.,87627
b3332ba9-3c9a-4876-9576-98e4f39be24f,Neque atque ab mollitia quo aut sed omnis repudiandae animi.,64246
695001a4-4d3f-48cb-ab91-c71e2bf13a72,Saepe mollitia enim expedita dicta esse officia consequuntur sapiente aperiam.,14391
a69f0527-951a-4e20-9e91-955b0a70801e,Pariatur temporibus nulla est a quaerat aliquam expedita labore modi.,50707
a5b05964-0044-45ea-a4d1-39fc0816f9fb,Laboriosam ea magnam aperiam facilis minus delectus animi dolor itaque.,11980
8f895a1a-7f62-48c4-8926-7ce69e44ffec,Reiciendis commodi ducimus doloribus dolores veritatis repellat facilis pariatur ea.,86738
1be8f556-b4af-48e3-b92c-b27b54fc984d,Ex libero fuga nisi perferendis iure quisquam beatae explicabo rem.,45597
09bbd5f4-286c-4ae6-8267-af2b59194472,Voluptatibus in dolores mollitia a voluptatum eum tenetur aliquam temporibus.,98544
94a0c5ed-cdac-47dd-9163-bdb81736bd74,Quas non aperiam recusandae tempora eveniet blanditiis repudiandae accusantium error.,81228
40937fb1-a98e-4d91-ba3c-3fc9da085933,Distinctio distinctio voluptate odit fuga illum praesentium nisi sed accusantium.,95382
63ecae1e-e335-411f-b91f-fd424dce976f,Esse similique cum dolorem blanditiis consectetur officiis recusandae facilis similique.,87341
caa552cd-422c-4b8c-88ea-5424cc4fc592,Temporibus facilis laboriosam voluptates perspiciatis iure repellendus reprehenderit quo dolorum.,32665
6d1b7371-c595-497d-858f-8c1418e4b9ce,Eligendi aliquid a doloremque dolor nobis minima nobis nemo vel.,38195
